Camelopardalis,Cam,Camelopardalis,Ursa Major,Plancius 1613,Giraffe,β Camelopardalis,Northern,Winter,February,Draco - Ursa Minor - Cepheus - Cassiopeia - Perseus - Auriga - Lynx - Ursa Major,Camelopardalis represents the animal that Rebecca rode to marry Isaac in the Bible.,images/Modern/Camelopardalis/CamelopardalisSky.jpg,images/Modern/Camelopardalis/CamelopardalisStars.png,images/Modern/Camelopardalis/CamelopardalisMyth.jpg
Cancer,Cnc,Cancri,Zodiac,Ptolemy,Crab,Tarf,Northern,Spring,March,Gemini - Lynx - Leo Minor - Leo - Hydra - Canis Minor,Cancer is identified with the crab that appeared while Hercules was fighting Hydra. It bit Hercules on the foot and Hercules crushed it and then Hera (who was a sworn enemy of Hercules) placed the crab among the stars.,images/Modern/Cancer/CancerSky.png,images/Modern/Cancer/CancerStars.png,images/Modern/Cancer/CancerMyth.jpg
Canes Venatici,CVn,Canum Venaticorum,Ursa Major,Hevelius 1690,Hunting dogs,Cor Caroli,Northern,Spring,May,Ursa Major - Coma Berenices - Bootes,Canes Venatici are Bootes dogs. This interpretation was due to a mistranslation from Greek to Arabic.,images/Modern/Canes Venatici/CanesVenaticiSky.jpg,images/Modern/Canes Venatici/CanesVenaticiStars.png,images/Modern/Canes Venatici/CanesVenaticiMyth.jpg
Canis Major,CMa,Canis Majoris,Orion,Ptolemy,Greater dog,Sirius,Northern/Southern,Winter/Summer,February,Monoceros - Puppis - Columba - Lepus (It doesn't border Canis Minor. Monoceros is between them.),In Greek mythology there are many interpretations on what dog Canis Major was. The most common is that it represents one of Orions hunting dogs pursuing Lepus the Hare or helping Orion fight Taurus the Bull.,images/Modern/Canis Major/CanisMajorSky.jpg,images/Modern/Canis Major/CanisMajorStars.png,images/Modern/Canis Major/CanisMajorMyth.jpg
Canis Minor,CMi,Canis Minoris,Orion,Ptolemy,Lesser dog,Procyon,Northern,Spring,March,Monoceros - Gemini - Cancer - Hyrda (It doesn't border Canis Major. Monoceros is between them.),Canis Minor is commonly represented as Orion's second dog helping him hunt Lepus the Hare or Taurus the Bull.,images/Modern/Canis Minor/CanisMinorsky.jpg,images/Modern/Canis Minor/CanisMinorStars.png,images/Modern/Canis Minor/CanisMinorMyth.jpg
Capricornus,Cap,Capricorni,Zodiac,Ptolemy,Sea goat,Deneb Algiedi,Southern,Fall,September,Aquila - Sagittarius - Microscopium - Piscis Austrinus - Aquarius,needed,images/Modern/Capricornus/CapricornusSky.jpg,images/Modern/Capricornus/CapricornusStars.png,images/Modern/Capricornus/CapricornusMyth.jpg
Carina,Car,Carinae,Heavenly Waters,Lacaille 1763,Keel,Canopus,Southern,Spring,March,Vela - Puppis - Pictor - Volans - Chamaeleon - Musca - Centaurus,needed,images/Modern/Carina/CarinaSky.jpg,images/Modern/Carina/CarinaStars.png,images/Modern/Carina/CarinaMyth.jpg
Cassiopeia,Cas,Cassiopeiae,Perseus,Ptolemy,Cassiopeia,Shedir,Northern,Fall,November,Camelopardalis - Cepheus - Lacerta - Andromeda - Perseus,needed,images/Modern/Cassiopeia/CassiopeiaSky.jpg,images/Modern/Cassiopeia/CassiopeiaStars.png,images/Modern/Cassiopeia/CassiopeiaMyth.jpg
Centaurus,Cen,Centauri,Hercules,Ptolemy,Centaur,Alpha Centauri,Southern,Spring,May,Antlia - Carina - Circinus - Crux - Hydra - Libra - Lupus - Musca - Vela,needed,images/Modern/Centaurus/CentaurusSky.jpg,images/Modern/Centaurus/CentaurusStars.png,images/Modern/Centaurus/CentaurusMyth.jpg
Cepheus,Cep,Cephei,Perseus,Ptolemy,Cepheus,Alderamin,Northern,Fall,November,Cygnus - Lacerta - Cassiopeia - Camelopardalis - Draco - Ursa Minor,needed,images/Modern/Cepheus/CepheusSky.jpg,images/Modern/Cepheus/CepheusStars.png,images/Modern/Cepheus/CepheusMyth.jpg
Cetus,Cet,Ceti,Perseus,Ptolemy,Sea monster (or whale),Deneb Kaitos,Southern,Fall,November,Aries - Pisces - Aquarius - Sculptor - Fornax - Eridanus - Taurus,needed,images/Modern/Cetus/CetusSky.jpg,images/Modern/Cetus/CetusStars.png,images/Modern/Cetus/CetusMyth.jpg
Chamaeleon,Cha,Chamaeleontis,Bayer,Uranometria 1603,Chameleon,α Chamaeleontis,Southern,Spring,April,Musca - Carina - Volans - Mensa - Octans - Apus,needed,images/Modern/Chamaeleon/ChamaeleonSky.jpg,images/Modern/Chamaeleon/ChamaeleonStars.png,images/Modern/Chamaeleon/ChamaeleonMyth.jpg
Circinus,Cir,Circini,La Caille,Lacaille 1763,Compasses,α Circini,Southern,Summer,July,Centaurus - Musca - Apus - Triangulum Australe - Norma - Lupus,needed,images/Modern/Circinus/CircinusSky.jpg,images/Modern/Circinus/CircinusStars.png,images/Modern/Circinus/CircinusMyth.jpg
Columba,Col,Columbae,Heavenly Waters,Plancius 1592,Dove,Phact,Southern,Winter,February,Lepus - Caelum - Pictor - Puppis - Canis Major,needed,images/Modern/Columba/ColumbaSky.jpg,images/Modern/Columba/ColumbaStars.png,images/Modern/Columba/ColumbaMyth.jpg
Coma Berenices,Com,Comae Berenices,Ursa Major,Uranometria 1603,Berenice's hair,β Comae Berenices,Northern/Southern,Spring,May,Canes Venatici - Ursa Major - Leo - Virgo - Bootes,needed,images/Modern/Coma Berenices/ComaBerenicesSky.jpg,images/Modern/Coma Berenices/ComaBerenicesStars.png,images/Modern/Coma Berenices/ComaBerenicesMyth.jpg
Corona Australis,CrA,Coronae Australis,Hercules,Ptolemy,Southern crown,Alphekka Meridiana,Southern,Summer,August,Sagittarius - Scorpius - Ara - Telescopium,needed,images/Modern/Corona Australis/CoronaAustralisSky.jpg,images/Modern/Corona Australis/CoronaAustralisStars.png,images/Modern/Corona Australis/CoronaAustralisMyth.jpg
Corona Borealis,CrB,Coronae Borealis,Ursa Major,Ptolemy,Northern crown,Alphecca,Northern,Summer,July,Hercules - Bootes - Serpens Caput,needed,images/Modern/Corona Borealis/CoronaBorealisSky.jpg,images/Modern/Corona Borealis/CoronaBorealisStars.png,images/Modern/Corona Borealis/CoronaBorealisMyth.jpg
Corvus,Crv,Corvi,Hercules,Ptolemy,Crow,Gienah,Southern,Spring,May,Virgo - Crater - Hydra,needed,images/Modern/Corvus/CorvusSky.jpg,images/Modern/Corvus/CorvusStars.png,images/Modern/Corvus/CorvusMyth.jpg
Crater,Crt,Crateris,Hercules,Ptolemy,Cup,Labrum,Southern,Spring,April,Leo - Sextans - Hyrda - Corvus - Virgo,needed,images/Modern/Crater/CraterSky.jpg,images/Modern/Crater/CraterStars.png,images/Modern/Crater/CraterMyth.jpg
Crux,Cru,Crucis,Hercules,Uranometria 1603,Southern cross,Acrux,Southern,Summer,May,Centaurus - Musca,needed,images/Modern/Crux/CruxSky.jpg,images/Modern/Crux/CruxStars.png,images/Modern/Crux/CruxMyth.jpg
Cygnus,Cyg,Cygni,Hercules,Ptolemy,Swan or Nothern cross,Deneb,Northern,Fall,September,Cepheus - Draco - Lyra - Vulpecula - Pegasus - Lacerta,needed,images/Modern/Cygnus/CygnusSky.jpg,images/Modern/Cygnus/CygnusStars.png,images/Modern/Cygnus/CygnusMyth.jpg
Delphinus,Del,Delphini,Heavenly Waters,Ptolemy,Dolphin,Rotanev,Northern,Fall,September,Vulpecula - Sagitta - Aquila - Aquarius - Equuleus - Pegasus,needed,images/Modern/Delphinus/DelphinusSky.jpg,images/Modern/Delphinus/DelphinusStars.png,images/Modern/Delphinus/DelphinusMyth.jpg
Dorado,Dor,Doradus,Bayer,Uranometria 1603,Dolphinfish,α Doradus,Southern,Winter,January,Caelum - Horologium - Reticulum - Hydrus - Mensa - Volans - Pictor,needed,images/Modern/Dorado/DoradoSky.jpg,images/Modern/Dorado/DoradoStars.png,images/Modern/Dorado/DoradoMyth.jpg
Draco,Dra,Draconis,Ursa Major,Ptolemy,Dragon,Etamin,Northern (deep),Summer,July,Bootes - Hercules - Lyra - Cygnus - Cepheus - Ursa Minor - Camelopardalis - Ursa Major,needed,images/Modern/Draco/DracoSky.jpg,images/Modern/Draco/DracoStars.png,images/Modern/Draco/DracoMyth.jpg
Equuleus,Equ,Equulei,Heavenly Waters,Ptolemy,Pony,Kitalpha,Northern/Southern,Fall/Spring,September,Aquarius - Delphinus - Pegasus,needed,images/Modern/Equuleus/EquuleusSky.jpg,images/Modern/Equuleus/EquuleusStars.png,images/Modern/Equuleus/EquuleusMyth.jpg
Eridanus,Eri,Eridani,Heavenly Waters,Ptolemy,The river "Eridanus",Achernar,Southern,Winter,December,Cetus - Fornax - Phoenix - Hydrus - Tucana - Horologium - Caelum - Lepus - Orion - Taurus,needed,images/Modern/Eridanus/EridanusSky.png,images/Modern/Eridanus/EridanusStars.png,images/Modern/Eridanus/EridanusMyth.jpg
Fornax,For,Fornacis,La Caille,Lacaille 1763,Chemical furnace,Fornacis,Southern,Winter,December,Cetus - Sculptor - Phoenix - Eridanus,needed,images/Modern/Fornax/FornaxSky.jpg,images/Modern/Fornax/FornaxStars.png,images/Modern/Fornax/FornaxMyth.jpg
Gemini,Gem,Geminorum,Zodiac,Ptolemy,Twins,Pollux,Northern/Southern,Winter,February,Lynx - Auriga - Taurus - Orion - Monoceros - Canis Minor - Cancer,needed,images/Modern/Gemini/GeminiSky.jpg,images/Modern/Gemini/GeminiStars.png,images/Modern/Gemini/GeminiMyth.jpg
Grus,Gru,Gruis,Bayer,Uranometria 1603,Crane,Alnair,Southern,Fall,October,Pisces Austrinus - Microscopium - Indus - Tucana - Phoenix - Sculptor,needed,images/Modern/Grus/GrusSky.jpg,images/Modern/Grus/GrusStars.png,images/Modern/Grus/GrusMyth.jpg
Hercules,Her,Herculis,Hercules,Ptolemy,Hercules,Kornephoros,Northern,Summer,July,Draco - Bootes - Corona Borealis - Serpens Caput - Ophiuchus - Aquila - Sagitta - Vulpecula - Lyra,needed,images/Modern/Hercules/HerculesSky.jpg,images/Modern/Hercules/HerculesStars.png,images/Modern/Hercules/HerculesMyth.jpg
Horologium,Hor,Horologii,La Caille,Lacaille 1763,Pendulum clock,α Horologii,Southern,Winter,December,Eridanus - Hydrus - Reticulum - Dorado - Caelum,needed,images/Modern/Horologium/HorologiumSky.jpg,images/Modern/Horologium/HorologiumStars.png,images/Modern/Horologium/HorologiumMyth.jpg
Hydra,Hya,Hydrae,Hercules,Ptolemy,Hydra,Alphard,Northern/Southern,Spring,April,Antila - Cancer - Canis Minor - Centaurus - Corvus - Crater - Leo - Lupus - Libra - Lupus - Monoceros - Puppis - Pyxis - Sextans - Virgo,needed,images/Modern/Hydra/HydraSky.jpg,images/Modern/Hydra/HydraStars.png,images/Modern/Hydra/HydraMyth.jpg
Hydrus,Hyi,Hydri,Bayer,Uranometria 1603,Lesser water snake,β Hydri,Southern,Fall,November,Dorado - Eridanus - Horologium - Mensa - Octans - Phoenix - Reticulum - Tucana,needed,images/Modern/Hydrus/HydrusSky.jpg,images/Modern/Hydrus/HydrusStars.png,images/Modern/Hydrus/HydrusMyth.jpg
Indus,Ind,Indi,Bayer,Uranometria 1603,Indian,The Persian,Southern,Fall,September,Microscopium - Sagittarius - Telescopium - Pavo - Octans - Tucana - Grus,needed,images/Modern/Indus/IndusSky.jpg,images/Modern/Indus/IndusStars.png,images/Modern/Indus/IndusMyth.jpg
Lacerta,Lac,Lacertae,Perseus,Firmamentum Sobiescianum 1690,Lizard,α Lacertae,Northern,Fall,October,Andromeda - Cassiopeia - Cepheus - Cygnus - Pegasus,needed,images/Modern/Lacerta/LacertaSky.jpg,images/Modern/Lacerta/LacertaStars.png,images/Modern/Lacerta/LacertaMyth.jpg
Leo,Leo,Leonis,Zodiac,Ptolemy,Lion,Regulus,Northern/Southern,Spring,April,Ursa Major - Leo Minor - Lynx - Cancer - Hydra - Sextans - Crater - Virgo - Coma Berenices,needed,images/Modern/Leo/LeoSky.jpg,images/Modern/Leo/LeoStars.png,images/Modern/Leo/LeoMyth.jpg
Leo Minor,LMi,Leonis Minoris,Ursa Major,Firmamentum Sobiescianum 1690,Lesser lion,Praecipua,Northern,Spring,April,Ursa Major  - Lynx - Cancer - Leo,needed,images/Modern/Leo Minor/LeoMinorSky.jpg,images/Modern/Leo Minor/LeoMinorStars.png,images/Modern/Leo Minor/LeoMinorMyth.jpg
Lepus,Lep,Leporis,Orion,Ptolemy,Hare,Arneb,Northern/Southern,Winter,January,Orion - Monoceros - Canis Major - Columba - Caelum - Eridanus,needed,images/Modern/Lepus/LepusSky.jpg,images/Modern/Lepus/LepusStars.png,images/Modern/Lepus/LepusMyth.jpg
Libra,Lib,Librae,Zodiac,Ptolemy,Balance,Zubeneshamali,Northern/Southern,Summer,June,Serpens Caput - Virgo - Hydra - Centaurus - Lupus - Scorpius - Ophiuchus,needed,images/Modern/Libra/LibraSky.jpg,images/Modern/Libra/LibraStars.png,images/Modern/Libra/LibraMyth.jpg
Lupus,Lup,Lupi,Hercules,Ptolemy,Wolf,Men,Southern,Summer,June,Norma - Scorpius - Circinus - Centaurus - Libra - Hydra,needed,images/Modern/Lupus/LupusSky.jpg,images/Modern/Lupus/LupusStars.png,images/Modern/Lupus/LupusMyth.jpg
Lynx,Lyn,Lyncis,Ursa Major,Firmamentum Sobiescianum 1690,Lynx,Elvashak,Northern,Spring,March,Ursa Major - Camelopardalis - Auriga - Gemini - Cancer - Leo - Leo Minor,needed,images/Modern/Lynx/LynxSky.png,images/Modern/Lynx/LynxStars.png,images/Modern/Lynx/LynxMyth.jpg
Lyra,Lyr,Lyrae,Hercules,Ptolemy,Lyre/Harp,Vega,Northern,Summer,August,Draco - Hercules - Vulpecula - Cygnus,needed,images/Modern/Lyra/LyraSky.jpg,images/Modern/Lyra/LyraStars.png,images/Modern/Lyra/LyraMyth.jpg
Mensa,Men,Mensae,La Caille,Lacaille 1763,Table Mountain,α Mensae,Southern,Winter,January,Chamaeleon - Dorado - Hydrus - Octans - Volans,needed,images/Modern/Mensa/MensaSky.jpg,images/Modern/Mensa/MensaStars.png,images/Modern/Mensa/MensaMyth.jpg
Microscopium,Mic,Microscopii,La Caille,Lacaille 1763,Microscope,γ Microscopii,Southern,Fall,September,Capricornus - Sagittarius - Telescopium - Indus - Grus - Piscis Austrinus,needed,images/Modern/Microscopium/MicroscopiumSky.jpg,images/Modern/Microscopium/MicroscopiumStars.png,images/Modern/Microscopium/MicroscopiumMyth.jpg
Monoceros,Mon,Monocerotis,Orion,Plancius 1613,Unicorn,β Monocerotis,Northern/Southern,Winter,February,Canis Major - Canis Minor - Gemini - Hydra - Lepus - Orion - Puppis,needed,images/Modern/Monoceros/MonocerosSky.jpg,images/Modern/Monoceros/MonocerosStars.png,images/Modern/Monoceros/MonocerosMyth.jpg
Musca,Mus,Muscae,Bayer,Uranometria 1603,Fly,α Muscae,Southern,Spring,May,Apus - Carina - Centaurus - Chamaeleon - Circinus - Cruz,needed,images/Modern/Musca/MuscaSky.jpg,images/Modern/Musca/MuscaStars.png,images/Modern/Musca/MuscaMyth.jpg
Norma,Nor,Normae,La Caille,Lacaille 1763,Carpenter's level,γ2 Normae,Southern,Summer,July,Scorpius - Lupus - Circinus - Triangulum Australe - Ara,needed,images/Modern/Norma/NormaSky.jpg,images/Modern/Norma/NormaStars.png,images/Modern/Norma/NormaMyth.jpg
Octans,Oct,Octantis,La Caille,Lacaille 1763,Octant,v Oct,Southern (deep),Fall,October,Tucana - Indus - Pavo - Apus - Chamaeleon - Mensa - Hydrus,needed,images/Modern/Octans/OctansSky.jpg,images/Modern/Octans/OctansStars.png,images/Modern/Octans/OctansMyth.jpg
Ophiuchus,Oph,Ophiuchi,Hercules,Ptolemy,Serpent-bearer,Rasalhague,Northern/Southern,Summer,July,Hercules - Serpens - Libra - Scorpius - Sagittarius - Aquila,needed,images/Modern/Ophiuchus/OphiuchusSky.jpg,images/Modern/Ophiuchus/OphiuchusStars.png,images/Modern/Ophiuchus/OphiuchusMyth.jpg
Orion,Ori,Orionis,Orion,Ptolemy,Orion,Rigel,Northern/Southern,Winter,January,Gemini - Taurus - Eridanus - Lepus - Monoceros,needed,images/Modern/Orion/OrionSky.jpg,images/Modern/Orion/OrionStars.png,images/Modern/Orion/OrionMyth.jpg
Pavo,Pav,Pavonis,Bayer,Uranometria 1603,Peacock,α Pav,Southern,Summer,August,Octans - Apus - Ara - Telescopium - Indus,needed,images/Modern/Pavo/PavoSky.jpg,images/Modern/Pavo/PavoStars.png,images/Modern/Pavo/PavoMyth.jpg
Pegasus,Peg,Pegasi,Perseus,Ptolemy,Pegasus,Enif,Northern,Fall,October,Andromeda - Lacerta - Cygnus - Vulpecula - Delphinus - Equuleus - Aquarius - Pisces,needed,images/Modern/Pegasus/PegasusSky.jpg,images/Modern/Pegasus/PegasusStars.png,images/Modern/Pegasus/PegasusMyth.jpg
Perseus,Per,Persei,Perseus,Ptolemy,Perseus,Mirfak,Northern,Winter,December,Aries - Taurus - Auriga - Camelopardalis - Cassiopeia - Andromeda - Triangulum,needed,images/Modern/Perseus/PerseusSky.jpg,images/Modern/Perseus/PerseusStars.png,images/Modern/Perseus/PerseusMyth.jpg
Phoenix,Phe,Phoenicis,Bayer,Uranometria 1603,Phoenix,Ankaa,Southern,Fall,November,Sculptor - Grus - Tucana - Hydrus - Eridanus - Fornax,needed,images/Modern/Phoenix/PhoenixSky.jpg,images/Modern/Phoenix/PhoenixStars.png,images/Modern/Phoenix/PhoenixMyth.jpg
Pictor,Pic,Pictoris,Le Caille,Lacaille 1763,Easel,α Pictoris,Southern,Winter,January,Caelum - Carina - Columba - Dorado - Puppis - Volans,needed,images/Modern/Pictor/PictorSky.jpg,images/Modern/Pictor/PictorStars.png,images/Modern/Pictor/PictorMyth.jpg
Pisces,Psc,Piscium,Zodiac,Ptolemy,Fishes,Alpherg,Northern,Fall,November,Triangulum - Andromeda - Pegasus - Aquarius - Cetus - Aries,needed,images/Modern/Pisces/PiscesSky.jpg,images/Modern/Pisces/PiscesStars.png,images/Modern/Pisces/PiscesMyth.jpg
Piscis Austrinus,PsA,Piscis Austrini,Heavenly Waters,Ptolemy,Southern fish,Fomalhaut,Southern,Fall,October,Capricornus - Microscopium - Grus - Sculptor - Aquarius,needed,images/Modern/Piscis Austrinus/PiscisAustrinusSky.jpg,images/Modern/Piscis Austrinus/PiscisAustrinusStars.png,images/Modern/Piscis Austrinus/PiscisAustrinusMyth.jpg
Puppis,Pup,Puppis,Heavenly Waters,Lacaille 1763 (split from Agro Navis),Poop deck,Naos,Southern,Winter,February,Monoceros - Pyxis - Vela - Carina - Pictor - Columba - Canis Major - Hydra,needed,images/Modern/Puppis/PuppisSky.jpg,images/Modern/Puppis/PuppisStars.png,images/Modern/Puppis/PuppisMyth.jpg
Pyxis,Pyx,Pyxidis,Heavenly Waters,Lacaille 1763,Mariner's compass,α Pyxidis,Southern,Spring,March,Hydra - Puppis - Vela - Antlia,needed,images/Modern/Pyxis/PyxisSky.png,images/Modern/Pyxis/PyxisStars.png,images/Modern/Pyxis/PyxisMyth.jpg
Reticulum,Ret,Reticuli,La Caille,Lacaille 1763,Eyepiece graticule,α Reticuli,Southern,Winter,January,Horologium - Dorado - Hydrus,needed,images/Modern/Reticulum/ReticulumSky.png,images/Modern/Reticulum/ReticulumStars.png,images/Modern/Reticulum/ReticulumMyth.jpg
Sagitta,Sge,Sagittae,Hercules,Ptolemy,Arrow,γ Sagittae,Northern,Summer,August,Vulpecula - Hercules - Aquila - Delphinus,needed,images/Modern/Sagitta/SagittaSky.jpg,images/Modern/Sagitta/SagittaStars.png,images/Modern/Sagitta/SagittaMyth.jpg
Sagittarius,Sgr,Sagittarii,Zodiac,Ptolemy,Archer,Kaus Australis,Southern,Summer,August,Aquila - Scutum - Serpens Cauda - Ophiuchus - Scorpius - Corona Australis - Telescopium - Indus - Microscopium - Capricornus,needed,images/Modern/Sagittarius/SagittariusSky.jpg,images/Modern/Sagittarius/SagittariusStars.png,images/Modern/Sagittarius/SagittariusMyth.jpg
Scorpius,Sco,Scorpii,Zodiac,Ptolemy,Scorpion,Antares,Southern,Summer,July,Sagittarius - Ophiuchus - Libra - Lupus - Norma - Ara - Corona Australis,needed,images/Modern/Scorpius/ScorpiusSky.jpg,images/Modern/Scorpius/ScorpiusStars.png,images/Modern/Scorpius/ScorpiusMyth.jpg
Sculptor,Scl,Sculptoris,La Caille,Lacaille 1763,Sculptor,α Sculptoris,Southern,Fall,November,Cetus - Aquarius - Piscis Austrinus - Grus - Phoenix - Fornax,needed,images/Modern/Sculptor/SculptorSky.png,images/Modern/Sculptor/SculptorStars.png,images/Modern/Sculptor/SculptorMyth.jpg
Scutum,Sct,Scuti,Hercules,Firmamentum Sobiescianum 1690,Shield of Sobieski,α Scuti,Northern/Southern,Summer,August,Aquila - Sagittarius - Serpens Cauda,needed,images/Modern/Scutum/ScutumSky.jpg,images/Modern/Scutum/ScutumStars.png,images/Modern/Scutum/ScutumMyth.png
Serpens (Caput),Ser,Serpentis,Hercules,Ptolemy,Snake head,Unukalhai,Northern/Southern,Summer,July,Corona Borealis - Bootes - Virgo - Libra - Ophiuchus - Hercules,This is a two part constellation with Serpens Caput being the snakes head and Serpens Cauda being its tail.,images/Modern/Serpens Caput/SerpensCaputSky.jpg,images/Modern/Serpens Caput/SerpensCaputStars.png,images/Modern/Serpens Caput/SerpensCaputMyth.jpg
Serpens (Cauda),Ser,Serpentis,Hercules,Ptolemy,Snake tail,Unukalhai,Northern/Southern,Summer,July,Aquila - Ophiuchus - Sagittarius - Scutum,This is a two part constellation with Serpens Caput being the snakes head and Serpens Cauda being its tail.,images/Modern/Serpens Cauda/SerpensCaudaSky.jpg,images/Modern/Serpens Cauda/SerpensCaudaStars.png,images/Modern/Serpens Cauda/SerpensCaudaMyth.jpg
Sextans,Sex,Sextantis,Hercules,Firmamentum Sobiescianum 1690,Sextant,α Sextantis,Northern/Southern,Spring,April,Leo - Hydra - Crater,needed,images/Modern/Sextans/SextansSky.jpg,images/Modern/Sextans/SextansStars.png,images/Modern/Sextans/SextansMyth.jpg
